rematch_decision,rematch_confidence,matched_chapter_code,matched_chapter_name,matched_group_name,matched_object_path,match_source_type,match_source_file,path_count,sample_paths
YES_SAME_EXISTING_GROUP_CODE,high,SF,小区服务参数管理,LTE,Device.Services.FAPService.{i}.Capabilities.LTE.,existing_mml_group_code_from_analysis,omcgo/data/model-library/standard-params-to-mml-tree-analysis-20260703.detail.csv,4,Device.Services.FAPService.{i}.Capabilities.LTE.BandsSupported; Device.Services.FAPService.{i}.Capabilities.LTE.DuplexMode; Device.Services.FAPService.{i}.Capabilities.LTE.SupportActiveRRCNumbers; Device.Services.FAPService.{i}.Capabilities.LTE.UeInactiveTimer
YES_EXISTING_JSON_PARENT_GROUP,medium,SC,基站网管参数管理,基站网管连接,Device.ManagementServer.,json_seed_and_catalog_existing_group,omcgo/internal/config/parammodel/mmlstandardloader/seeds/cmcc_tdlte_v23.json; omcgo/datamodels/mml-catalog/cmcc-tdlte-v2.3.json,2,Device.ManagementServer.sslStatus.endDate; Device.ManagementServer.sslStatus.startDate
YES_SAME_EXISTING_GROUP_CODE,high,SH,RAN协议栈参数,RRCTimers,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.RRCTimers.,existing_mml_group_code_from_analysis,omcgo/data/model-library/standard-params-to-mml-tree-analysis-20260703.detail.csv,2,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.RRCTimers.T304; Device.Services.FAPService.{i}.CellConfig.LTE.RAN.RRCTimers.T319
YES_EXISTING_JSON_PARENT_GROUP,medium,SH,RAN协议栈参数,RAN PHY 物理层,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.PHY.,json_seed_and_catalog_existing_group,omcgo/internal/config/parammodel/mmlstandardloader/seeds/cmcc_tdlte_v23.json; omcgo/datamodels/mml-catalog/cmcc-tdlte-v2.3.json,1,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.PHY.AntennaInfo.Multiplex
YES_EXISTING_JSON_PARENT_GROUP,medium,SJ,移动性参数管理,连接态 IRAT 测量,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.Mobility.ConnMode.IRAT.,json_seed_and_catalog_existing_group,omcgo/internal/config/parammodel/mmlstandardloader/seeds/cmcc_tdlte_v23.json; omcgo/datamodels/mml-catalog/cmcc-tdlte-v2.3.json,1,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.Mobility.ConnMode.IRAT.X_COM_UTRANTDD.B2Threshold2UTRATDDRSCP
YES_QUICKSETTINGS_XML_GROUP,high,,,Abis 接口,,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BM.xml#gsm-abis:Abis 接口(GsmBtsBindMib),1,Device.Services.GsmBTSCellDT.{i}.GsmBtsBindMib
YES_QUICKSETTINGS_XML_GROUP,high,,,Abis 接口,,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BM.xml#gsm-abis:Abis 接口(IPAUnitID),1,Device.Services.GsmBTSCellDT.{i}.IPAUnitID
YES_QUICKSETTINGS_XML_GROUP,high,,,Abis 接口,,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BM.xml#gsm-abis:Abis 接口(OMLRemoteIP),1,Device.Services.GsmBTSCellDT.{i}.OMLRemoteIP
YES_QUICKSETTINGS_XML_GROUP,high,,,Abis 接口,,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BM.xml#gsm-abis:Abis 接口(OMLRemoteIPBak),1,Device.Services.GsmBTSCellDT.{i}.OMLRemoteIPBak
YES_QUICKSETTINGS_XML_GROUP,high,,,BTS 配置,,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BSC.xml#bsc-bts-config:BTS 配置(Band),1,DeviceGSM.Bts.{i}.Band
YES_QUICKSETTINGS_XML_GROUP,high,,,BTS 配置,,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BSC.xml#bsc-bts-config:BTS 配置(Bsic),1,DeviceGSM.Bts.{i}.Bsic
YES_QUICKSETTINGS_XML_GROUP,high,,,BTS 配置,,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BSC.xml#bsc-bts-config:BTS 配置(C0PowerRed),1,DeviceGSM.Bts.{i}.C0PowerRed
YES_QUICKSETTINGS_XML_GROUP,high,,,BTS 配置,,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BSC.xml#bsc-bts-config:BTS 配置(CellId),1,DeviceGSM.Bts.{i}.CellId
YES_QUICKSETTINGS_XML_GROUP,high,,,BTS 配置,,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BSC.xml#bsc-bts-config:BTS 配置(CellReselectHysteresis),1,DeviceGSM.Bts.{i}.CellReselectHysteresis
YES_QUICKSETTINGS_XML_GROUP,high,,,BTS 配置,,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BSC.xml#bsc-bts-config:BTS 配置(CellReselectOffset),1,DeviceGSM.Bts.{i}.CellReselectOffset
YES_QUICKSETTINGS_XML_GROUP,high,,,BTS 配置,,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BSC.xml#bsc-bts-config:BTS 配置(CellReselectPenaltyTime),1,DeviceGSM.Bts.{i}.CellReselectPenaltyTime
YES_QUICKSETTINGS_XML_GROUP,high,,,BTS 配置,,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BSC.xml#bsc-bts-config:BTS 配置(CodecSupport),1,DeviceGSM.Bts.{i}.CodecSupport
YES_QUICKSETTINGS_XML_GROUP,high,,,BTS 配置,,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BSC.xml#bsc-bts-config:BTS 配置(GprsMode),1,DeviceGSM.Bts.{i}.GprsMode
YES_QUICKSETTINGS_XML_GROUP,high,,,BTS 配置,,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BSC.xml#bsc-bts-config:BTS 配置(IpaRslIp),1,DeviceGSM.Bts.{i}.IpaRslIp
YES_QUICKSETTINGS_XML_GROUP,high,,,BTS 配置,,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BSC.xml#bsc-bts-config:BTS 配置(IpaUnitId),1,DeviceGSM.Bts.{i}.IpaUnitId
YES_QUICKSETTINGS_XML_GROUP,high,,,BTS 配置,,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BSC.xml#bsc-bts-config:BTS 配置(LocationAreaCode),1,DeviceGSM.Bts.{i}.LocationAreaCode
YES_QUICKSETTINGS_XML_GROUP,high,,,BTS 配置,,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BSC.xml#bsc-bts-config:BTS 配置(MsMaxPower),1,DeviceGSM.Bts.{i}.MsMaxPower
YES_QUICKSETTINGS_XML_GROUP,high,,,BTS 配置,,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BSC.xml#bsc-bts-config:BTS 配置(NeighborListMode),1,DeviceGSM.Bts.{i}.NeighborListMode
YES_QUICKSETTINGS_XML_GROUP,high,,,BTS 配置,,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BSC.xml#bsc-bts-config:BTS 配置(OmlIpaStreamId),1,DeviceGSM.Bts.{i}.OmlIpaStreamId
YES_QUICKSETTINGS_XML_GROUP,high,,,BTS 配置,,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BSC.xml#bsc-bts-config:BTS 配置(RachCellBarred),1,DeviceGSM.Bts.{i}.RachCellBarred
YES_QUICKSETTINGS_XML_GROUP,high,,,GSM 传输参数,,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BTS.xml#gsm-transport:GSM 传输参数(BtsRfPower),1,Device.DeviceInfo.GSM.BtsRfPower
YES_QUICKSETTINGS_XML_GROUP,high,,,GSM 传输参数,,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BTS.xml#gsm-transport:GSM 传输参数(RemoteIP),1,DeviceGSM.OmlRemoteIp
YES_QUICKSETTINGS_XML_GROUP,high,,,GSM 传输参数,,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BTS.xml#gsm-transport:GSM 传输参数(RemoteIPBak),1,DeviceGSM.OmlRemoteIpBak
YES_QUICKSETTINGS_XML_GROUP,high,,,GSM 传输参数,,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BTS.xml#gsm-transport:GSM 传输参数(UnitID),1,DeviceGSM.IpaUnitId
YES_QUICKSETTINGS_XML_GROUP,high,,,GSM 空口参数,,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BM.xml#gsm-cell:GSM 空口参数(BscSelect),1,Device.Services.GsmBTSCellDT.{i}.BscSelect
YES_QUICKSETTINGS_XML_GROUP,high,,,GSM 空口参数,,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BM.xml#gsm-cell:GSM 空口参数(CurrLocAreaCode),1,Device.Services.GsmBTSCellDT.{i}.CurrLocAreaCode
YES_QUICKSETTINGS_XML_GROUP,high,,,GSM 空口参数,,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BM.xml#gsm-cell:GSM 空口参数(CurrentArfcn),1,Device.Services.GsmBTSCellDT.{i}.CurrentArfcn
YES_QUICKSETTINGS_XML_GROUP,high,,,GSM 空口参数,,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BM.xml#gsm-cell:GSM 空口参数(GsmBSIC),1,Device.Services.GsmBTSCellDT.{i}.GsmBSIC
YES_QUICKSETTINGS_XML_GROUP,high,,,GSM 空口参数,,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BM.xml#gsm-cell:GSM 空口参数(GsmBtsBand),1,Device.Services.GsmBTSCellDT.{i}.GsmBtsBand
YES_QUICKSETTINGS_XML_GROUP,high,,,GSM 空口参数,,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BM.xml#gsm-cell:GSM 空口参数(GsmBtsRFPower),1,Device.Services.GsmBTSCellDT.{i}.GsmBtsRFPower
YES_QUICKSETTINGS_XML_GROUP,high,,,GSM 空口参数,,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BM.xml#gsm-cell:GSM 空口参数(GsmCellID),1,Device.Services.GsmBTSCellDT.{i}.GsmCellID
YES_QUICKSETTINGS_XML_GROUP,high,,,GSM 空口参数,,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BM.xml#gsm-cell:GSM 空口参数(GsmCellWithRuRelation),1,Device.Services.GsmBTSCellDT.{i}.GsmCellWithRuRelation
YES_QUICKSETTINGS_XML_GROUP,high,,,GSM 空口参数,,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BM.xml#gsm-cell:GSM 空口参数(MobileNetworkCode),1,Device.Services.GsmBTSCellDT.{i}.MobileNetworkCode
YES_QUICKSETTINGS_XML_GROUP,high,,,GSM 空口参数,,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BM.xml#gsm-cell:GSM 空口参数(NetworkCountryCode),1,Device.Services.GsmBTSCellDT.{i}.NetworkCountryCode
YES_QUICKSETTINGS_XML_GROUP,high,,,GSM 空口参数,,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BM.xml#gsm-cell:GSM 空口参数(OpState),1,Device.Services.GsmBTSCellDT.{i}.OpState
YES_QUICKSETTINGS_XML_GROUP,high,,,GSM 空口参数,,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BM.xml#gsm-cell:GSM 空口参数(RfState),1,Device.Services.GsmBTSCellDT.{i}.RfState
YES_QUICKSETTINGS_XML_GROUP,high,,,GSM 空口参数,,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BM.xml#gsm-cell:GSM 空口参数(UeCount),1,Device.Services.GsmBTSCellDT.{i}.UeCount
YES_QUICKSETTINGS_XML_GROUP,high,,,IPSec 配置,,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BLQ.xml#device-ipsec-control:IPSec 配置(IPSEC_ENABLE),1,Device.Services.FAPService.Ipsec.IPSEC_ENABLE
YES_QUICKSETTINGS_XML_GROUP,high,,,TDD 配置,,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BaiBNQ.xml#gnb-tdd:TDD 配置(DlULTransmissionPeriodicity),1,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.TddULDLConfigurationCommon.pattern1.DlULTransmissionPeriodicity
YES_QUICKSETTINGS_XML_GROUP,high,,,TDD 配置,,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BaiBNQ.xml#gnb-tdd:TDD 配置(NrofDownlinkSlots),1,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.TddULDLConfigurationCommon.pattern1.NrofDownlinkSlots
YES_QUICKSETTINGS_XML_GROUP,high,,,TDD 配置,,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BaiBNQ.xml#gnb-tdd:TDD 配置(NrofDownlinkSymbols),1,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.TddULDLConfigurationCommon.pattern1.NrofDownlinkSymbols
YES_QUICKSETTINGS_XML_GROUP,high,,,TDD 配置,,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BaiBNQ.xml#gnb-tdd:TDD 配置(NrofUplinkSlots),1,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.TddULDLConfigurationCommon.pattern1.NrofUplinkSlots
YES_QUICKSETTINGS_XML_GROUP,high,,,TDD 配置,,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BaiBNQ.xml#gnb-tdd:TDD 配置(NrofUplinkSymbols),1,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.TddULDLConfigurationCommon.pattern1.NrofUplinkSymbols
YES_QUICKSETTINGS_XML_GROUP,high,,,TDD 配置,,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BaiBNQ.xml#gnb-tdd:TDD 配置(Pat2DlULTransmissionPeriodicity),1,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.TddULDLConfigurationCommon.pattern2.DlULTransmissionPeriodicity
YES_QUICKSETTINGS_XML_GROUP,high,,,TDD 配置,,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BaiBNQ.xml#gnb-tdd:TDD 配置(Pat2NrofDownlinkSlots),1,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.TddULDLConfigurationCommon.pattern2.NrofDownlinkSlots
YES_QUICKSETTINGS_XML_GROUP,high,,,TDD 配置,,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BaiBNQ.xml#gnb-tdd:TDD 配置(Pat2NrofDownlinkSymbols),1,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.TddULDLConfigurationCommon.pattern2.NrofDownlinkSymbols
YES_QUICKSETTINGS_XML_GROUP,high,,,TDD 配置,,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BaiBNQ.xml#gnb-tdd:TDD 配置(Pat2NrofUplinkSlots),1,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.TddULDLConfigurationCommon.pattern2.NrofUplinkSlots
YES_QUICKSETTINGS_XML_GROUP,high,,,TDD 配置,,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BaiBNQ.xml#gnb-tdd:TDD 配置(Pat2NrofUplinkSymbols),1,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.TddULDLConfigurationCommon.pattern2.NrofUplinkSymbols
YES_QUICKSETTINGS_XML_GROUP,high,,,切换配置,,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BSC.xml#bsc-bts-handover:切换配置(HandoverAlgorithm),1,DeviceGSM.Bts.{i}.HandoverAlgorithm
YES_QUICKSETTINGS_XML_GROUP,high,,,切换配置,,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BSC.xml#bsc-bts-handover:切换配置(handover),1,DeviceGSM.Bts.{i}.handover
YES_QUICKSETTINGS_XML_GROUP,high,,,切换配置,,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BSC.xml#bsc-bts-handover:切换配置(handover1.maximum.distance),1,DeviceGSM.Bts.{i}.handover1.maximum.distance
YES_QUICKSETTINGS_XML_GROUP,high,,,切换配置,,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BSC.xml#bsc-bts-handover:切换配置(handover1.power.budget.hysteresis),1,DeviceGSM.Bts.{i}.handover1.power.budget.hysteresis
YES_QUICKSETTINGS_XML_GROUP,high,,,切换配置,,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BSC.xml#bsc-bts-handover:切换配置(handover1.power.budget.interval),1,DeviceGSM.Bts.{i}.handover1.power.budget.interval
YES_QUICKSETTINGS_XML_GROUP,high,,,切换配置,,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BSC.xml#bsc-bts-handover:切换配置(handover1.window.rxlev.averaging),1,DeviceGSM.Bts.{i}.handover1.window.rxlev.averaging
YES_QUICKSETTINGS_XML_GROUP,high,,,切换配置,,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BSC.xml#bsc-bts-handover:切换配置(handover1.window.rxlev.neighbor.averaging),1,DeviceGSM.Bts.{i}.handover1.window.rxlev.neighbor.averaging
YES_QUICKSETTINGS_XML_GROUP,high,,,切换配置,,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BSC.xml#bsc-bts-handover:切换配置(handover1.window.rxqual.averaging),1,DeviceGSM.Bts.{i}.handover1.window.rxqual.averaging
YES_QUICKSETTINGS_XML_GROUP,high,,,切换配置,,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BSC.xml#bsc-bts-handover:切换配置(handover2.afs-bias.rxlev),1,DeviceGSM.Bts.{i}.handover2.afs-bias.rxlev
YES_QUICKSETTINGS_XML_GROUP,high,,,切换配置,,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BSC.xml#bsc-bts-handover:切换配置(handover2.afs-bias.rxqual),1,DeviceGSM.Bts.{i}.handover2.afs-bias.rxqual
YES_QUICKSETTINGS_XML_GROUP,high,,,切换配置,,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BSC.xml#bsc-bts-handover:切换配置(handover2.max-handovers),1,DeviceGSM.Bts.{i}.handover2.max-handovers
YES_QUICKSETTINGS_XML_GROUP,high,,,切换配置,,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BSC.xml#bsc-bts-handover:切换配置(handover2.maximum.distance),1,DeviceGSM.Bts.{i}.handover2.maximum.distance
YES_QUICKSETTINGS_XML_GROUP,high,,,切换配置,,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BSC.xml#bsc-bts-handover:切换配置(handover2.min-free-slots.tch-f),1,DeviceGSM.Bts.{i}.handover2.min-free-slots.tch-f
YES_QUICKSETTINGS_XML_GROUP,high,,,切换配置,,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BSC.xml#bsc-bts-handover:切换配置(handover2.min-free-slots.tch-h),1,DeviceGSM.Bts.{i}.handover2.min-free-slots.tch-h
